incident_type,severity,affected_residents,timestamp,actual_outage_hrs,actual_cost
water_pressure_drop,medium,33,2025-06-15 19:28:57.036966,4.02,1429.7
power_overload,medium,60,2025-06-15 20:00:56.036966,7.95,3744.59
power_outage,critical,3039,2025-06-15 20:58:23.036966,71.74,129306.95
tank_overflow,high,369,2025-06-15 21:13:28.036966,5.31,3933.47
tank_overflow,critical,912,2025-06-15 22:20:58.036966,69.46,100192.23
abnormal_infrastructure,medium,63,2025-06-15 22:26:44.036966,5.79,1901.9
abnormal_infrastructure,low,10,2025-06-15 23:23:28.036966,1.62,714.71
water_shortage,low,9,2025-06-16 00:08:41.036966,1.41,467.5
water_pressure_drop,low,17,2025-06-16 00:23:28.036966,1.29,567.34
abnormal_infrastructure,high,368,2025-06-16 01:15:04.036966,10.63,6701.57
power_overload,medium,119,2025-06-16 01:19:35.036966,1.97,1052.42
power_outage,medium,124,2025-06-16 01:26:59.036966,6.17,3134.04
power_outage,high,477,2025-06-16 01:35:50.036966,21.94,20112.71
power_overload,high,127,2025-06-16 03:00:35.036966,26.61,22622.93
abnormal_infrastructure,medium,52,2025-06-16 03:03:29.036966,4.14,1423.96
water_pressure_drop,high,324,2025-06-16 03:44:17.036966,15.82,8806.2
water_pressure_drop,critical,916,2025-06-16 05:22:40.036966,39.19,42616.15
power_overload,critical,1583,2025-06-16 05:40:08.036966,41.64,70158.62
water_pressure_drop,high,280,2025-06-16 07:20:26.036966,20.09,10988.02
power_overload,medium,39,2025-06-16 08:11:53.036966,2.67,1216.12
power_overload,critical,1797,2025-06-16 08:45:45.036966,65.32,110296.16
power_outage,critical,1078,2025-06-16 09:05:25.036966,64.88,117166.34
power_overload,medium,37,2025-06-16 09:43:32.036966,4.6,2140.36
water_pressure_drop,high,186,2025-06-16 11:15:51.036966,21.65,11916.05
power_overload,medium,115,2025-06-16 12:57:41.036966,3.69,1689.02
power_overload,low,6,2025-06-16 14:21:57.036966,1.9,726.57
abnormal_infrastructure,medium,87,2025-06-16 14:35:25.036966,2.85,1053.6
water_shortage,low,25,2025-06-16 15:14:21.036966,1.97,464.98
power_outage,low,33,2025-06-16 15:29:22.036966,2.04,808.81
water_shortage,critical,3039,2025-06-16 16:07:30.036966,143.81,190019.7
power_outage,medium,84,2025-06-16 18:39:04.036966,8.7,4060.93
tank_overflow,high,165,2025-06-16 19:58:06.036966,30.82,22423.07
water_shortage,critical,1632,2025-06-16 20:02:35.036966,43.67,58010.77
power_overload,critical,2197,2025-06-16 20:12:16.036966,94.7,159672.12
power_outage,high,483,2025-06-16 20:36:50.036966,19.67,17837.42
water_shortage,high,165,2025-06-16 21:03:09.036966,16.46,11326.54
water_shortage,low,24,2025-06-16 21:51:49.036966,1.4,577.17
abnormal_infrastructure,critical,616,2025-06-16 22:09:44.036966,20.14,24257.31
water_shortage,high,264,2025-06-16 22:23:05.036966,7.14,5093.92
water_pressure_drop,critical,1432,2025-06-16 23:38:48.036966,30.84,33507.38
abnormal_infrastructure,critical,957,2025-06-16 23:49:05.036966,29.17,35069.97
power_outage,low,37,2025-06-17 01:52:31.036966,2.97,930.98
power_overload,low,12,2025-06-17 01:58:35.036966,1.53,623.16
power_outage,medium,91,2025-06-17 02:15:22.036966,10.9,5089.61
power_overload,low,5,2025-06-17 02:27:17.036966,2.03,801.24
water_shortage,medium,126,2025-06-17 02:53:21.036966,8.35,2999.37
water_pressure_drop,medium,73,2025-06-17 03:02:07.036966,2.81,981.05
water_pressure_drop,critical,421,2025-06-17 03:07:23.036966,91.4,98942.75
abnormal_infrastructure,medium,54,2025-06-17 04:47:13.036966,2.92,1114.67
power_overload,high,469,2025-06-17 05:25:14.036966,13.01,11218.21
water_shortage,critical,2082,2025-06-17 05:42:15.036966,49.03,64881.86
water_shortage,critical,1191,2025-06-17 07:01:24.036966,28.33,37488.51
power_overload,medium,61,2025-06-17 08:06:56.036966,13.24,5799.99
abnormal_infrastructure,critical,874,2025-06-17 09:27:23.036966,20.67,24893.97
abnormal_infrastructure,critical,1389,2025-06-17 09:54:03.036966,26.8,32258.69
water_shortage,low,19,2025-06-17 10:57:43.036966,1.39,459.26
power_overload,low,20,2025-06-17 11:02:06.036966,3.09,999.45
tank_overflow,critical,2301,2025-06-17 11:04:52.036966,71.41,103013.03
power_outage,high,352,2025-06-17 11:05:20.036966,19.74,18430.55
power_overload,critical,1252,2025-06-17 11:13:58.036966,31.27,52908.31
tank_overflow,critical,690,2025-06-17 11:17:37.036966,20.63,29929.96
water_shortage,high,664,2025-06-17 11:53:23.036966,10.07,6748.63
power_outage,medium,51,2025-06-17 12:16:15.036966,3.83,2183.96
water_shortage,high,447,2025-06-17 12:26:58.036966,18.34,12251.75
power_outage,high,279,2025-06-17 16:11:10.036966,24.28,22131.36
tank_overflow,high,348,2025-06-17 16:50:42.036966,20.5,14912.12
water_pressure_drop,medium,30,2025-06-17 18:01:52.036966,1.89,691.0
abnormal_infrastructure,high,243,2025-06-17 18:16:59.036966,9.51,6113.59
water_pressure_drop,high,213,2025-06-17 18:37:33.036966,1.84,1179.02
water_pressure_drop,critical,963,2025-06-17 19:26:39.036966,22.94,24955.84
water_pressure_drop,high,146,2025-06-17 19:34:21.036966,17.68,9814.77
tank_overflow,critical,1174,2025-06-17 22:07:43.036966,82.32,118847.33
power_overload,medium,107,2025-06-17 22:58:26.036966,5.96,2816.03
water_pressure_drop,low,27,2025-06-18 00:18:25.036966,0.9,363.59
water_pressure_drop,critical,2163,2025-06-18 01:48:08.036966,31.71,34444.99
water_pressure_drop,critical,1857,2025-06-18 02:03:31.036966,34.43,37398.85
